,game_id,color,team_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,winner
138,6160054d143c37878b2386b3,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,7,0,5,0,815,False
139,6160054d143c37878b2386b3,orange,604e562301d675f81a96aea6,BIG GOOSE,Oceania,7,2,6,1,1153,True
140,61600551f8090ec745286eb1,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,9,2,4,2,1225,True
141,61600551f8090ec745286eb1,orange,604e562301d675f81a96aea6,BIG GOOSE,Oceania,6,1,7,1,1318,False
142,61600555f8090ec745286eb8,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,7,2,6,2,1098,True
143,61600555f8090ec745286eb8,orange,604e562301d675f81a96aea6,BIG GOOSE,Oceania,11,1,4,1,836,False
144,61600559143c37878b2386ba,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,8,2,4,1,1023,False
145,61600559143c37878b2386ba,orange,604e562301d675f81a96aea6,BIG GOOSE,Oceania,9,3,4,3,1245,True
146,6160055e143c37878b2386c1,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,5,0,6,0,814,False
147,6160055e143c37878b2386c1,orange,604e562301d675f81a96aea6,BIG GOOSE,Oceania,11,1,2,1,868,True
148,61600a3f143c37878b2386eb,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,9,5,5,4,1562,True
149,61600a3f143c37878b2386eb,orange,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,9,4,2,2,1030,False
150,61600bd7f8090ec745286edb,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,10,4,7,2,1467,True
151,61600bd7f8090ec745286edb,orange,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,11,3,5,3,1342,False
152,61600d79143c37878b2386f2,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,12,4,3,3,1119,True
153,61600d79143c37878b2386f2,orange,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,5,1,6,1,948,False
154,61614eb3143c37878b2387d4,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,2,2,4,2,976,True
155,61614eb3143c37878b2387d4,orange,615c068f143c37878b238569,THE GROGANS,Oceania,5,1,0,1,556,False
156,61614eb8143c37878b2387db,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,7,2,6,1,1290,True
157,61614eb8143c37878b2387db,orange,615c068f143c37878b238569,THE GROGANS,Oceania,5,0,5,0,736,False
158,61614f7b143c37878b238805,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,12,1,6,0,1153,False
159,61614f7b143c37878b238805,orange,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,12,2,9,2,1603,True
160,61614f7ff8090ec7452870a3,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,10,2,4,2,1134,False
161,61614f7ff8090ec7452870a3,orange,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,7,3,4,3,1230,True
162,61614f83f8090ec7452870aa,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,7,1,5,0,947,False
163,61614f83f8090ec7452870aa,orange,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,7,2,5,0,1024,True
164,61615053143c37878b23884b,blue,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,9,4,3,3,1270,True
165,61615053143c37878b23884b,orange,615580e2f8090ec745286b17,JOE,Oceania,6,2,5,0,1057,False
166,61615057f8090ec7452870f0,blue,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,8,2,3,1,759,False
167,61615057f8090ec7452870f0,orange,615580e2f8090ec745286b17,JOE,Oceania,6,3,4,2,966,True
168,6161505bf8090ec7452870f7,blue,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,11,3,1,2,990,True
169,6161505bf8090ec7452870f7,orange,615580e2f8090ec745286b17,JOE,Oceania,1,0,6,0,774,False
